"OBJECTID","WELLWIDTH","WELLLENGTH","PAREAWIDTH","LOWWELL","SPECIES","ADDRNUM","STNAME"
119,"2","4","0","Low","Lagerstroemia indica",379,"ORANGE ST"
120,"4","4","0","None","Platanus acerifolia",1740,"BROADWAY"
121,"4","4","0","Low","Magnolia grandiflora",829,"M L KING JR WY"
122,"0","0","4","None","Platanus acerifolia",0,"M L KING JR WY"
123,"3","3","0","Moderate","Magnolia grandiflora",1701,"M L KING JR WY"
124,"0","0","5","None","Ulmus americana",1701,"M L KING JR WY"
125,"2","5","0","Low","Prunus sp",2823,"WEBSTER ST"
126,"5","10","0","Low","Platanus acerifolia",180,"GRAND AV"
127,"4","4","0","Low","Platanus acerifolia",180,"GRAND AV"
128,"0","0","3","None","Cinnamomum camphora",3270,"KEMPTON AV"
129,"4","4","0","None","Magnolia grandiflora",1301,"CLAY ST"
130,"5","5","0","Moderate","Ginkgo biloba",1301,"CLAY ST"
131,"5","5","0","None","Ginkgo biloba",1301,"CLAY ST"
132,"5","8","0","Low","Ficus retusa nitida",102,"10TH ST"
133,"3","3","0","None","Lophostemon confertus",0,"10TH ST"
134,"0","0","0","None","Prunus cerasifera/blireiana",0,"10TH ST"
135,"4","5","0","None","Crataegus phaenopyrum",0,"10TH ST"
136,"5","5","0","None","Gleditsia triacanthos",0,"10TH ST"
137,"0","0","3","None","Liquidambar styraciflua",220,"PERKINS ST"
138,"5","5","0","None","Platanus acerifolia",1000,"BROADWAY"
139,"5","5","0","None","Platanus acerifolia",1000,"BROADWAY"
140,"5","5","0","None","Platanus acerifolia",1000,"BROADWAY"
141,"2","3","0","Low","Lophostemon confertus",389,"15TH ST"
142,"4","5","0","High","Lophostemon confertus",330,"FRANKLIN ST"
143,"6","9","0","Low","Lophostemon confertus",260,"13TH ST"
144,"2","3","0","Low","Podocarpus gracilior",2306,"WAVERLY ST"
145,"0","0","6","None","Lophostemon confertus",1525,"JACKSON ST"
146,"0","0","6","None","Trachycarpus fortunei",1525,"JACKSON ST"
147,"3","4","0","Moderate","Liriodendron tulipifera",2100,"GROVE ST"
148,"4","6","0","None","Prunus cerasifera/blireiana",2801,"HARRISON ST"
149,"3","3","0","Low","Pyrus kawakami",308,"JACKSON ST"
150,"3","3","0","Low","Morus alba",3334,"HARRISON ST"
151,"0","0","3","None","Liquidambar styraciflua",430,"STATEN AV"
152,"2","4","0","Low","Lophostemon confertus",1970,"FRANKLIN ST"
153,"0","0","5","None","Ulmus americana",672,"17TH ST"
154,"2","3","0","Low","Stump",1827,"M L KING JR WY"
155,"6","6","0","None","Lophostemon confertus",111,"GRAND AV"
156,"2","2","0","Low","Platanus acerifolia",579,"18TH ST"
157,"0","0","6","None","Unknown",300,"LAKESIDE DR"
158,"4","4","0","None","Schinus terebinthefolia",800,"MADISON ST"
159,"2","3","0","Moderate","Lophostemon confertus",314,"15TH ST"
160,"4","4","0","None","Platanus acerifolia",806,"WASHINGTON ST"
161,"3","8","0","Low","Arbutus sp",55,"4TH ST"
162,"0","0","5","None","Pyrus calleryana cvs",55,"4TH ST"
163,"5","5","0","None","Ginkgo biloba",988,"FRANKLIN ST"
164,"3","3","0","None","Pyrus calleryana cvs",763,"FRANKLIN ST"
165,"0","0","5","None","Cercis sp",612,"JACKSON ST"
166,"3","3","0","None","Platanus acerifolia",250,"14TH ST"
167,"3","3","0","None","Platanus acerifolia",286,"14TH ST"
168,"0","0","3","None","Unknown",1906,"JACKSON ST"
169,"0","0","3","None","Unknown",1906,"JACKSON ST"
170,"4","4","0","None","Prunus sp",311,"4TH ST"
171,"3","3","0","Low","Magnolia grandiflora",1428,"MADISON ST"
172,"3","6","0","None","Cinnamomum camphora",374,"ADAMS ST"
173,"4","4","0","None","Platanus acerifolia",435,"8TH ST"
174,"3","4","0","None","Lophostemon confertus",808,"ALICE ST"
175,"0","0","5","None","Liquidambar styraciflua",1475,"ALICE ST"
176,"3","3","0","Low","Platanus acerifolia",0,"HARRISON ST"
177,"2.5","2.5","0","Low","Platanus acerifolia",0,"HARRISON ST"
178,"0","0","2","None","Magnolia soulangiana",428,"LAGUNITAS AV"
179,"5","5","0","None","Magnolia grandiflora",1,"KAISER PZ"
180,"5","5","0","None","Magnolia grandiflora",1,"KAISER PZ"
181,"5","5","0","None","Magnolia grandiflora",1,"KAISER PZ"
182,"0","0","5","None","Platanus acerifolia",291,"GRAND AV"
183,"3","3","0","Low","Lophostemon confertus",1950,"FRANKLIN ST"
184,"2","5","0","Moderate","Liquidambar styraciflua",394,"ORANGE ST"
185,"3","3","0","None","Podocarpus gracilior",2349,"WAVERLY ST"
186,"2","2","0","None","Liquidambar styraciflua",246,"14TH ST"
187,"2","3","0","Moderate","Liquidambar styraciflua",150,"17TH ST"
188,"3","4","0","Low","Ficus retusa nitida",900,"ALICE ST"
189,"0","0","3","None","Platanus acerifolia",376,"FAIRMOUNT AV"
190,"3","6","0","Moderate","Pyrus calleryana cvs",102,"3RD ST"
191,"0","0","6","None","Robinia hybrid",525,"VAN BUREN AV"
192,"4","8","0","Low","Platanus acerifolia",210,"14TH ST"
193,"6","6","0","None","Lophostemon confertus",1800,"HARRISON ST"
194,"6","6","0","None","Lophostemon confertus",1800,"HARRISON ST"
195,"3","6","0","Low","Lophostemon confertus",1800,"HARRISON ST"
196,"5","27","0","Low","Platanus acerifolia",350,"GRAND AV"
197,"3","3","0","Moderate","Quercus sp",469,"VAN BUREN AV"
198,"0","0","6","None","Platanus acerifolia",231,"JEFFERSON ST"
199,"0","0","2","None","Prunus cerasifera/blireiana",448,"ORANGE ST"
200,"5","5","0","None","Platanus acerifolia",487,"10TH ST"
201,"0","0","3","None","Liquidambar styraciflua",412,"STATEN AV"
202,"0","0","2","None","Liquidambar styraciflua",412,"STATEN AV"
203,"4","4","0","High","Prunus cerasifera/blireiana",281,"PERKINS ST"
204,"3","3","0","Low","Platanus acerifolia",190,"14TH ST"
205,"3","3","0","None","Pistacia chinensis",280,"28TH ST"
206,"3","5","0","Low","Pistacia chinensis",280,"28TH ST"
207,"4","6","0","Low","Platanus acerifolia",125,"12TH ST"
208,"0","0","3","None","Acer sp",382,"ADAMS ST"
209,"0","0","4","None","Alnus rhombifolia",379,"BELLEVUE AV"
210,"3","3","0","High","Platanus acerifolia",200,"HARRISON ST"
211,"0","0","0","Low","Platanus acerifolia",200,"HARRISON ST"
212,"2","5","0","Low","Unknown",1975,"WEBSTER ST"
213,"4","5","0","Low","Eucalyptus ficifolia",2910,"BROADWAY"
214,"0","0","3","None","Quercus sp",3015,"RICHMOND BL"
215,"4","6","0","Low","Ficus retusa nitida",1830,"WEBSTER ST"
216,"2","30","0","Low","Prunus sp",277,"PARK VIEW TR"
217,"0","0","5","None","Liquidambar styraciflua",397,"JAYNE AV"
218,"2","5","0","Low","Lophostemon confertus",2921,"HARRISON ST"
219,"4","4","0","Low","Magnolia grandiflora",429,"CLAY ST"
220,"3","3","0","None","Magnolia grandiflora",655,"3RD ST"
221,"3","3","0","None","Unknown",655,"3RD ST"
222,"3","5","0","Low","Platanus acerifolia",300,"BROADWAY"
223,"5","12","0","None","Platanus acerifolia",291,"GRAND AV"
224,"0","0","5","None","Platanus acerifolia",291,"GRAND AV"
225,"6","6","0","None","Platanus acerifolia",291,"GRAND AV"
226,"0","0","4","None","Lyonothamnus asplinifolia",394,"EUCLID AV"
227,"5","5","0","None","Magnolia grandiflora",0,"BROADWAY"
228,"3","4","0","Moderate","Magnolia grandiflora",160,"FRANKLIN ST"
229,"3","3","0","None","Pyrus calleryana cvs",226,"WEBSTER ST"
230,"4","5","0","High","Platanus acerifolia",268,"GRAND AV"
231,"0","0","2","None","Acer sp",425,"VERNON ST"
232,"3","3","0","Moderate","Lophostemon confertus",1261,"HARRISON ST"
233,"3","3","0","None","Lophostemon confertus",1261,"HARRISON ST"
234,"2","2","0","Low","Fraxinus o. `Raywood'",107,"8TH ST"
235,"2","2","0","High","Fraxinus o. `Raywood'",107,"8TH ST"
236,"2","2","0","Moderate","Fraxinus o. `Raywood'",107,"8TH ST"
237,"3","3","0","Moderate","Platanus acerifolia",1401,"LAKESIDE DR"
238,"3","3","0","Moderate","Platanus acerifolia",328,"14TH ST"
239,"3","6","0","Low","Pyrus calleryana cvs",679,"2ND ST"
240,"2","3","0","Low","Platanus acerifolia",2337,"HARRISON ST"
241,"4","5","0","None","Callistemon sp",253,"4TH ST"
242,"0","0","4","None","Unknown",3544,"KEMPTON WY"
243,"1","2","0","Moderate","Pyrus calleryana cvs",1111,"JACKSON ST"
244,"5","7","0","None","Liquidambar styraciflua",1111,"JACKSON ST"
245,"6","8","0","Low","Platanus acerifolia",331,"2ND ST"
246,"5","10","0","None","Platanus acerifolia",366,"GRAND AV"
247,"5","5","0","None","Platanus acerifolia",0,"11TH ST"
248,"2","3","0","Moderate","Lophostemon confertus",125,"14TH ST"
249,"0","0","4","None","Platanus acerifolia",205,"MACARTHUR BL"
250,"8","12","0","None","Liquidambar styraciflua",1553,"ALICE ST"
251,"6","9","0","None","Liquidambar styraciflua",1553,"ALICE ST"
252,"5","5","0","Moderate","Platanus acerifolia",171,"12TH ST"
253,"4","4","0","Moderate","Platanus acerifolia",171,"12TH ST"
254,"3","6","0","None","Lophostemon confertus",250,"10TH ST"
255,"4","4","0","Low","Lophostemon confertus",1901,"FRANKLIN ST"
256,"3","3","0","High","Pistacia chinensis",1800,"MADISON ST"
257,"0","0","5","None","Trachycarpus fortunei",1453,"MADISON ST"
258,"0","0","4","None","Betula sp",299,"EUCLID AV"
259,"0","0","4","None","Platanus acerifolia",590,"2ND ST"
260,"0","0","6","None","Platanus acerifolia",590,"2ND ST"
261,"4","5","0","Moderate","Ficus retusa nitida",508,"2ND ST"
262,"4","8","0","Low","Liquidambar styraciflua",2501,"HARRISON ST"
263,"0","0","6","None","Prunus sp",211,"8TH ST"
264,"2","3","0","Low","Platanus acerifolia",2150,"WEBSTER ST"
265,"5","7.5","0","Low","Pyrus kawakami",308,"JACKSON ST"
266,"3","3","0","None","Washingtonia robusta",308,"JACKSON ST"
267,"4","4","0","None","Platanus acerifolia",1100,"BROADWAY"
268,"0","0","3","None","Prunus sp",362,"PERKINS ST"
269,"4","4","0","High","Platanus acerifolia",661,"WASHINGTON ST"
270,"4","4","0","High","Platanus acerifolia",661,"WASHINGTON ST"
271,"3","5","0","None","Platanus acerifolia",384,"EMBARCADERO"
272,"5","9","0","Moderate","Fraxinus o. `Raywood'",1448,"MADISON ST"
273,"5","5","0","Low","Platanus acerifolia",229,"CASTRO ST"
274,"0","0","2","None","Lophostemon confertus",430,"ORANGE ST"
275,"4","12","0","Low","Liquidambar styraciflua",250,"17TH ST"
276,"0","0","0","None","Platanus acerifolia",0,"EMBARCADERO"
277,"0","0","0","None","Platanus acerifolia",0,"EMBARCADERO"
278,"8","5","0","None","Lophostemon confertus",311,"OAK ST"
279,"4","7","0","None","Platanus acerifolia",311,"OAK ST"
280,"4","7","0","None","Platanus acerifolia",311,"OAK ST"
281,"3","5","0","Low","Platanus acerifolia",1314,"FRANKLIN ST"
282,"3","5","0","Moderate","Platanus acerifolia",1314,"FRANKLIN ST"
283,"4","3","0","Low","Dead",3074,"BROADWAY"
284,"0","0","5","None","Prunus cerasifera/blireiana",3229,"ELM ST"
285,"0","0","5","None","Syzygium paniculatum",56,"SANTA CLARA AV"
286,"0","0","4","None","Pinus pinea",276,"EUCLID AV"
287,"0","0","4","None","Alnus rhombifolia",350,"BELLEVUE AV"
288,"2","5","0","None","Liquidambar styraciflua",255,"JAYNE AV"
289,"5","8","0","Moderate","Liquidambar styraciflua",100,"BAY PL"
290,"5","9","0","Low","Liquidambar styraciflua",100,"BAY PL"
291,"5","9","0","Low","Platanus acerifolia",66,"BAY PL"
292,"0","0","3","None","Eucalyptus ficifolia",3407,"ELM ST"
293,"4","3","0","Low","Nyssa sylvatica",3040,"BROADWAY"
294,"0","0","6","None","Betula sp",515,"VAN BUREN AV"
295,"4","6","0","None","Platanus acerifolia",198,"11TH ST"
296,"5","9","0","None","Ficus retusa nitida",226,"13TH ST"
297,"5","9","0","None","Ficus retusa nitida",226,"13TH ST"
298,"5","4","0","Low","Schinus terebinthefolia",800,"MADISON ST"
299,"4","4","0","Low","Schinus terebinthefolia",800,"MADISON ST"
300,"3","3","0","None","Liquidambar styraciflua",330,"VERNON ST"
301,"0","0","3","None","Pyrus calleryana cvs",565,"BELLEVUE AV"
302,"5","5","0","None","Magnolia grandiflora",988,"FRANKLIN ST"
303,"0","0","5","None","Pyrus kawakami",49,"4TH ST"
304,"3","3","0","Low","Lophostemon confertus",3300,"WEBSTER ST"
305,"2","2","0","None","Robinia hybrid",403,"M L KING JR WY"
306,"4","8","0","Low","Liquidambar styraciflua",303,"ADAMS ST"
307,"0","0","3","None","Crataegus phaenopyrum",373,"EUCLID AV"
308,"2","3","0","High","Prunus sp",427,"LAGUNITAS AV"
309,"04","04","0","Low","Pyrus calleryana cvs",108,"17TH ST"
310,"3","3","0","Low","Lagerstroemia indica",3000,"BROADWAY"
311,"4","5.5","0","None","Prunus sp",274,"VERNON ST"
312,"4","9","0","Moderate","Liquidambar styraciflua",274,"VERNON ST"
313,"4","4","0","None","Platanus acerifolia",478,"9TH ST"
314,"0","0","4","Low","Washingtonia robusta",520,"3RD ST"
315,"0","0","4","Moderate","Lagerstroemia indica",520,"3RD ST"
316,"4","4","0","None","Platanus acerifolia",550,"6TH ST"
317,"0","0","6","None","Magnolia grandiflora",208,"JACKSON ST"
318,"0","0","6","None","Magnolia grandiflora",208,"JACKSON ST"
319,"0","0","5","None","Lophostemon confertus",208,"JACKSON ST"
320,"2","3","0","Moderate","Lagerstroemia indica",215,"WEST MACARTHUR BL"
321,"4","4","0","None","Pistacia chinensis",1000,"BROADWAY"
322,"0","0","3","None","Stump",276,"ADAMS ST"
323,"2","5","0","Low","Crataegus phaenopyrum",366,"BELLEVUE AV"
324,"2","9","0","Low","Crataegus phaenopyrum",366,"BELLEVUE AV"
325,"4","4","0","Low","Platanus acerifolia",233,"BROADWAY"
326,"2","4","0","None","Lophostemon confertus",215,"WEST MACARTHUR BL"
327,"0","0","4","None","Prunus sp",1000,"OAK ST"
328,"0","0","4","None","Prunus sp",1000,"OAK ST"
329,"0","0","4","None","Unknown",1000,"OAK ST"
330,"0","0","4","None","Acer sp",36,"RANDWICK AV"
331,"0","0","3","None","Unknown",385,"EUCLID AV"
332,"4","5","0","None","Platanus acerifolia",530,"WATER ST"
333,"0","0","5","None","Sequoia sempervirens",64,"SANTA CLARA AV"
334,"0","0","0","None","Liquidambar styraciflua",201,"PERKINS ST"
335,"3","2","0","Moderate","Quercus ilex",201,"PERKINS ST"
336,"4","9","0","None","Liquidambar styraciflua",201,"PERKINS ST"
337,"0","0","0","None","Platanus acerifolia",416,"WATER ST"
338,"6","6","0","Low","Platanus acerifolia",40,"JACK LONDON SQ"
339,"3","5","0","None","Platanus acerifolia",322,"BROADWAY"
340,"0","0","2","None","Ginkgo biloba",521,"33RD ST"
341,"2.5","2.5","0","Moderate","Callistemon sp",700,"WASHINGTON ST"
342,"2","2","0","Moderate","Nyssa sylvatica",454,"34TH ST"
343,"3","3","0","High","Lophostemon confertus",605,"WEBSTER ST"
344,"2","3","0","Low","Pistacia chinensis",528,"33RD ST"
345,"0","0","5","None","Unknown",329,"JEFFERSON ST"
346,"0","0","6","None","Platanus acerifolia",231,"JEFFERSON ST"
347,"3","3","0","None","Liquidambar styraciflua",3401,"TELEGRAPH AV"
348,"6","8","0","None","Liquidambar styraciflua",3401,"TELEGRAPH AV"
349,"3","4","0","Moderate","Platanus acerifolia",554,"GRAND AV"
350,"0","0","0","None","Platanus acerifolia",240,"GRAND AV"
351,"0","0","5","None","Crataegus phaenopyrum",507,"VAN BUREN AV"
352,"3","5","0","Moderate","Platanus acerifolia",444,"EMBARCADERO"
353,"0","0","0","None","Pistacia chinensis",539,"33RD ST"
354,"0","0","4","None","Crataegus phaenopyrum",277,"EUCLID AV"
355,"0","0","6","None","Quercus ilex",183,"WEST MACARTHUR BL"
356,"5","12","0","Moderate","Unknown",593,"5TH ST"
357,"6","6","0","None","Platanus acerifolia",1111,"BROADWAY"
358,"3","6","0","Moderate","Platanus acerifolia",424,"BELLEVUE AV"
359,"3","6","0","Low","Unknown",522,"2ND ST"
360,"0","0","4","None","Lagerstroemia indica",3032,"BROOK ST"
361,"8","18","0","Moderate","Ficus retusa nitida",581,"5TH ST"
362,"3","3","0","None","Pyrus calleryana cvs",1111,"FRANKLIN ST"
363,"3","3","0","None","Pyrus calleryana cvs",1111,"FRANKLIN ST"
364,"0","0","0","Low","Platanus acerifolia",0,"11TH ST"
365,"3","3","0","High","Unknown",29,"CROXTON AV"
366,"5","5","0","None","Platanus acerifolia",0,"12TH ST"
367,"4","8","0","Low","Alnus rhombifolia",380,"BELLEVUE AV"
368,"3","4","0","None","Crataegus phaenopyrum",381,"EUCLID AV"
369,"0","0","3","None","Alnus sp",381,"EUCLID AV"
370,"3","5","0","Low","Platanus acerifolia",101,"BROADWAY"
371,"3","06","0","Low","Liquidambar styraciflua",1800,"MADISON ST"
372,"2","3","0","None","Callistemon sp",326,"LENOX AV"
373,"0","0","7","None","Malus sp",460,"34TH ST"
374,"2","3","0","High","Pittosporum undulatum",499,"5TH ST"
375,"4","3","0","Low","Platanus acerifolia",0,"EMBARCADERO"
376,"2","4","0","High","Pittosporum undulatum",200,"MONTECITO AV"
377,"6","9","0","None","Platanus acerifolia",401,"GRAND AV"
378,"6","9","0","None","Platanus acerifolia",401,"GRAND AV"
379,"2","2","0","Moderate","Magnolia grandiflora",149,"MONTECITO AV"
380,"0","0","3","None","Persea sp / avocado",3027,"RICHMOND BL"
381,"0","0","4","None","Platanus acerifolia",270,"GRAND AV"
382,"0","0","0","Low","Liquidambar styraciflua",424,"2ND ST"
383,"2","5","0","None","Unknown",400,"LAGUNITAS AV"
384,"2","4","0","Low","Syzygium paniculatum",400,"LAGUNITAS AV"
385,"4","4","0","Moderate","Platanus acerifolia",661,"WASHINGTON ST"
386,"0","0","2","None","Platanus acerifolia",370,"HAWTHORNE AV"
387,"3","3","0","Low","Platanus acerifolia",110,"WASHINGTON ST"
388,"5","5","0","None","Robinia hybrid",311,"OAK ST"
389,"8","06","0","None","Fraxinus o. `Raywood'",311,"OAK ST"
390,"6","6","0","None","Platanus acerifolia",383,"11TH ST"
391,"3","3","0","Low","Nyssa sylvatica",250,"30TH ST"
392,"3","3","0","None","Platanus acerifolia",363,"GRAND AV"
393,"0","0","3","None","Platanus acerifolia",155,"98TH AV"
394,"0","0","3","None","Platanus acerifolia",155,"98TH AV"
395,"0","0","3","None","Platanus acerifolia",190,"98TH AV"
396,"0","0","6","None","Phoenix canariensis",303,"HEGENBERGER RD"
397,"0","0","6","None","Phoenix canariensis",303,"HEGENBERGER RD"
398,"0","0","3","None","Platanus acerifolia",172,"98TH AV"
399,"0","0","3","None","Platanus acerifolia",0,"98TH AV"
400,"0","0","3","None","Platanus acerifolia",111,"98TH AV"
401,"0","0","4","None","Platanus acerifolia",134,"98TH AV"
402,"8","10","0","Low","Phoenix canariensis",0,"DOOLITTLE DR"
403,"0","0","4","None","Dead",191,"98TH AV"
404,"0","0","3","None","Liquidambar styraciflua",243,"MARLOW DR"
405,"2.5","3","0","Moderate","Lagerstroemia indica",3155,"REVERE AV"
406,"2","2","0","None","Prunus cerasifera/blireiana",8030,"HANSOM DR"
407,"0","0","6","None","Liquidambar styraciflua",212,"MARLOW DR"
408,"0","0","3","None","Pistacia chinensis",236,"COVINGTON ST"
409,"0","0","5","None","Liquidambar styraciflua",7951,"HANSOM DR"
